"userID","idUtente","type","nomeLocale","ragSociale","indEmail","nTelfono","via","citta"
"pveliero@choice.it","4","Admin","Luna Piena","test123","info@choicesuite.it","+39 3480890477","Salita Dei Fiori 1/A"," 30021  Caorle"
"userdemo@choice","4","User","Luna Piena","test123","info@choicesuite.it","+39 3480890477","Salita Dei Fiori 1/A"," 30021  Caorle"
"kuotamarevenicepub@gmail.com","5","Admin","kuotamare","Kuotamare di Saccu Marika","kuotamarevenicepub@gmail.com","0421634742","Viale lepanto, 105","Porto Santa Margherita di Caorle"
"sedi2000@live.it","7","Admin","Eleven","Ristornate Pizzeria Eleven","sedi2000@live.it","3480433394","Via del Branzin, 10 ","30021, Caorle"
"ignat.bianca08@gmail.com","10","User","L’ANGOLO","04399890278","ignat_bianca@yahoo.com","3347718426","Via Roma 18/8","Caorle"
"ignat_bianca@yahoo.com","10","Admin","L’ANGOLO","04399890278","ignat_bianca@yahoo.com","3347718426","Via Roma 18/8","Caorle"
"marcomorgans@gmail.com","11","Admin","MORGAN'S PUB","MOBAS snc","marcomorgans@gmail.com","3476409003","Via bafile 225","Jesolo"
"info@ristorantepicnic.it","13","Admin","RISTORANTE PIC NIC","Pic Nic di Zeni Maristella e C. snc","info@ristorantepicnic.it","0421 211575","via Timavo 6","Caorle"
"bianchin.mattia27@gmail.com","15","Admin","LIFE",,"info@lifelignano.it","3461237873","Via Tolmezzo 13","Lignano Sabbiadoro"
"ale_eis2013@libero.it","16","Admin","SOTTOVENTO & SPUNCIOTTO","SOTTOVENTO & SPUNCIOTTO","ale_eis2013@libero.it","3497296508","Portego de le Becarie 7","Caorle"
"blackcatpubjesolo@gmail.com","18","Admin","BLACK CAT PUB","Black Cat pub sas di Capeleto Francesca & c","Infoblackcatpub@gmail.com","0421372014","Via Silvio Trentin 40","Jesolo"
"enospina@libero.it","19","Admin","enos","Enoteca Enos di Silvestrini U & C sas","enospina@libero.it","0421212199","Via della Serenissima, 7","30021 Caorle"
"info@hotelnettunocaorle.com","20","Admin","nettuno-caorle","Hotel Nettuno","info@hotelnettunocaorle.com","0421 81142","via Gabriele D'Annunzio 4","Caorle"
"casafrancescocaorle@gmail.com","21","Admin","casa francesco",,"casafrancescocaorle@gmail.com","3208534184","Campo Negroni 1","Caorle"
"tania.vio.73@gmail.com","22","Admin","Cinganotto","Battistuta Silvana & c. Snc","tania.vio.73@gmail.com","347 7110371","Lungomare Venezia 33","Caorle"
"info@marinapalacehotel.it","24","Admin","BLOOM","Marina Palace Hotel","info@marinapalacehotel.it","0421 81102","Lungomare Trieste 42","Caorle"
"info@columbushotel.it","25","Admin","CARAVELS","Columbus hotel","info@columbushotel.it","0421 81455","Via A. Vespucci 1","Caorle"
"alveliero.caorle@gmail.com","26","Admin","AL VELIERO",,"alveliero.caorle@gmail.com","388 861 5441","Salita dei Fiori 1, 30021","Caorle"
"pizzerialabrace@gmail.com","27","Admin","La Brace","La Brace srl","pizzerialabrace@gmail.com","0421 274399","via Friuli 13 ","Portogruaro"
"info@altamareabistrot.it","28","Admin","Altamarea","BISTROT ALTAMAREA DI CATRINI SALVATORE","info@altamareabistrot.it","3475907369","Via Roma, 43 ","Concordia Sagittaria"
"info@unicohotelcaorle.it","29","Admin","UNICO SEAVIEW HOTEL","Unico Hotel Caorle","info@unicohotelcaorle.it","0421 210552","Piazza Marco Polo 4","Caorle"
"mircograndin@tiscali.it","30","Admin","Enotria",,,"3517813950","Ramo, Campo Sponzeta 4","Caorle"
"web@doid.biz","31","Admin","Ristorante Test GHL",,"web@doid.biz",,,
